,KO,growth,media,source
99626,b0439,1.826666667,Glucose,Monk 2015
99742,b0571,1.27,Glucose,Monk 2015
102385,b3667,1.27,Glucose,Monk 2015
100107,b0995,1.263333333,Glucose,Monk 2015
101319,b2362,1.196666667,Glucose,Monk 2015
101706,b2829,1.193333333,Glucose,Monk 2015
100099,b0986,1.18,Glucose,Monk 2015
101007,b2018,1.17,Glucose,Monk 2015
99850,b0711,1.168333333,Glucose,Monk 2015
101447,b2513,1.166666667,Glucose,Monk 2015
102052,b3252,1.166666667,Glucose,Monk 2015
102304,b3575,1.163333333,Glucose,Monk 2015
100493,b1449,1.16,Glucose,Monk 2015
102182,b3434,1.16,Glucose,Monk 2015
99501,b0289,1.156666667,Glucose,Monk 2015
100194,b1097,1.156666667,Glucose,Monk 2015
99622,b0435,1.153333333,Glucose,Monk 2015
99814,b0658,1.153333333,Glucose,Monk 2015
101406,b2469,1.15,Glucose,Monk 2015
101623,b2733,1.15,Glucose,Monk 2015
100646,b1611,1.146666667,Glucose,Monk 2015
102518,b3842,1.146666667,Glucose,Monk 2015
99380,b0127,1.143333333,Glucose,Monk 2015
99858,b0719,1.143333333,Glucose,Monk 2015
100483,b1439,1.143333333,Glucose,Monk 2015
100573,b1532,1.143333333,Glucose,Monk 2015
100746,b1723,1.143333333,Glucose,Monk 2015
101884,b3039,1.143333333,Glucose,Monk 2015
99876,b0739,1.136666667,Glucose,Monk 2015
100561,b1520,1.136666667,Glucose,Monk 2015
100769,b1747,1.136666667,Glucose,Monk 2015
100900,b1883,1.136666667,Glucose,Monk 2015
101989,b3162,1.136666667,Glucose,Monk 2015
100682,b1648,1.133333333,Glucose,Monk 2015
102637,b3999,1.133333333,Glucose,Monk 2015
100322,b1253,1.13,Glucose,Monk 2015
100805,b1784,1.13,Glucose,Monk 2015
102016,b3206,1.13,Glucose,Monk 2015
102353,b3627,1.13,Glucose,Monk 2015
102850,b4240,1.13,Glucose,Monk 2015
99573,b0378,1.126666667,Glucose,Monk 2015
103120,b4661,1.125,Glucose,Monk 2015
99290,TU-6002,1.123333333,Glucose,Monk 2015
99471,b0249,1.123333333,Glucose,Monk 2015
99536,b0329,1.123333333,Glucose,Monk 2015
99710,b0534,1.123333333,Glucose,Monk 2015
100435,b1381,1.123333333,Glucose,Monk 2015
101127,b2152,1.123333333,Glucose,Monk 2015
102197,b3453,1.123333333,Glucose,Monk 2015
102463,b3769,1.123333333,Glucose,Monk 2015
102918,b4325,1.123333333,Glucose,Monk 2015
99413,b0163,1.12,Glucose,Monk 2015
99813,b0655,1.12,Glucose,Monk 2015
99982,b0853,1.12,Glucose,Monk 2015
100635,b1600,1.12,Glucose,Monk 2015
101173,b2204,1.12,Glucose,Monk 2015
101320,b2363,1.12,Glucose,Monk 2015
101826,b2965,1.12,Glucose,Monk 2015
102058,b3261,1.12,Glucose,Monk 2015
102146,b3394,1.12,Glucose,Monk 2015
103123,b4691,1.12,Glucose,Monk 2015
99429,b0199,1.116666667,Glucose,Monk 2015
100938,b1930,1.116666667,Glucose,Monk 2015
101481,b2550,1.116666667,Glucose,Monk 2015
102109,b3354,1.116666667,Glucose,Monk 2015
99327,b0047,1.113333333,Glucose,Monk 2015
99361,b0107,1.113333333,Glucose,Monk 2015
99486,b0271,1.113333333,Glucose,Monk 2015
100191,b1091,1.113333333,Glucose,Monk 2015
100438,b1384,1.113333333,Glucose,Monk 2015
101149,b2175,1.113333333,Glucose,Monk 2015
101730,b2853,1.113333333,Glucose,Monk 2015
101861,b3009,1.113333333,Glucose,Monk 2015
101874,b3027,1.113333333,Glucose,Monk 2015
102027,b3219,1.113333333,Glucose,Monk 2015
102124,b3369,1.113333333,Glucose,Monk 2015
102311,b3582,1.113333333,Glucose,Monk 2015
102368,b3647,1.113333333,Glucose,Monk 2015
102458,b3754,1.113333333,Glucose,Monk 2015
102635,b3996,1.113333333,Glucose,Monk 2015
102888,b4295,1.113333333,Glucose,Monk 2015
101560,b2662,1.111666667,Glucose,Monk 2015
99611,b0424,1.11,Glucose,Monk 2015
100110,b0998,1.11,Glucose,Monk 2015
101314,b2357,1.11,Glucose,Monk 2015
101435,b2500,1.11,Glucose,Monk 2015
101764,b2896,1.11,Glucose,Monk 2015
102375,b3656,1.11,Glucose,Monk 2015
102376,b3657,1.11,Glucose,Monk 2015
102377,b3659,1.11,Glucose,Monk 2015
102579,b3917,1.11,Glucose,Monk 2015
102831,b4216,1.11,Glucose,Monk 2015
99708,b0532,1.106666667,Glucose,Monk 2015
100206,b1111,1.106666667,Glucose,Monk 2015
100827,b1808,1.106666667,Glucose,Monk 2015
101376,b2430,1.106666667,Glucose,Monk 2015
101439,b2504,1.106666667,Glucose,Monk 2015
101593,b2703,1.106666667,Glucose,Monk 2015
101912,b3076,1.106666667,Glucose,Monk 2015
102161,b3410,1.106666667,Glucose,Monk 2015
102973,b4387,1.106666667,Glucose,Monk 2015
99339,b0066,1.103333333,Glucose,Monk 2015
99534,b0327,1.103333333,Glucose,Monk 2015
99889,b0759,1.103333333,Glucose,Monk 2015
100153,b1049,1.103333333,Glucose,Monk 2015
100255,b1167,1.103333333,Glucose,Monk 2015
100464,b1415,1.103333333,Glucose,Monk 2015
100637,b1602,1.103333333,Glucose,Monk 2015
101135,b2161,1.103333333,Glucose,Monk 2015
101464,b2532,1.103333333,Glucose,Monk 2015
101669,b2787,1.103333333,Glucose,Monk 2015
102092,b3334,1.103333333,Glucose,Monk 2015
102195,b3451,1.103333333,Glucose,Monk 2015
102355,b3629,1.103333333,Glucose,Monk 2015
99355,b0092,1.101666667,Glucose,Monk 2015
99500,b0288,1.1,Glucose,Monk 2015
100520,b1477,1.1,Glucose,Monk 2015
100645,b1610,1.1,Glucose,Monk 2015
100887,b1869,1.1,Glucose,Monk 2015
101326,b2369,1.1,Glucose,Monk 2015
101381,b2435,1.1,Glucose,Monk 2015
101577,b2679,1.1,Glucose,Monk 2015
101750,b2879,1.1,Glucose,Monk 2015
101879,b3033,1.1,Glucose,Monk 2015
102276,b3541,1.1,Glucose,Monk 2015
102415,b3708,1.1,Glucose,Monk 2015
102894,b4301,1.1,Glucose,Monk 2015
100352,b1285,1.098333333,Glucose,Monk 2015
100713,b1682,1.098333333,Glucose,Monk 2015
103034,b4470,1.098333333,Glucose,Monk 2015
99489,b0276,1.096666667,Glucose,Monk 2015
99735,b0564,1.096666667,Glucose,Monk 2015
99983,b0854,1.096666667,Glucose,Monk 2015
100417,b1353,1.096666667,Glucose,Monk 2015
100539,b1496,1.096666667,Glucose,Monk 2015
100543,b1500,1.096666667,Glucose,Monk 2015
100607,b1569,1.096666667,Glucose,Monk 2015
100868,b1849,1.096666667,Glucose,Monk 2015
101331,b2374,1.096666667,Glucose,Monk 2015
101340,b2383,1.096666667,Glucose,Monk 2015
101444,b2509,1.096666667,Glucose,Monk 2015
102364,b3643,1.096666667,Glucose,Monk 2015
102450,b3746,1.096666667,Glucose,Monk 2015
102720,b4093,1.096666667,Glucose,Monk 2015
103072,b4527,1.096666667,Glucose,Monk 2015
103108,b4585,1.096666667,Glucose,Monk 2015
99274,C0719,1.093333333,Glucose,Monk 2015
99385,b0132,1.093333333,Glucose,Monk 2015
99634,b0447,1.093333333,Glucose,Monk 2015
99787,b0619,1.093333333,Glucose,Monk 2015
99855,b0716,1.093333333,Glucose,Monk 2015
100589,b1551,1.093333333,Glucose,Monk 2015
100596,b1558,1.093333333,Glucose,Monk 2015
100613,b1577,1.093333333,Glucose,Monk 2015
101511,b2587,1.093333333,Glucose,Monk 2015
101594,b2704,1.093333333,Glucose,Monk 2015
101602,b2712,1.093333333,Glucose,Monk 2015
101679,b2797,1.093333333,Glucose,Monk 2015
101864,b3012,1.093333333,Glucose,Monk 2015
101951,b3120,1.093333333,Glucose,Monk 2015
102054,b3257,1.093333333,Glucose,Monk 2015
102085,b3327,1.093333333,Glucose,Monk 2015
102094,b3336,1.093333333,Glucose,Monk 2015
102378,b3660,1.093333333,Glucose,Monk 2015
102541,b3874,1.093333333,Glucose,Monk 2015
102890,b4297,1.093333333,Glucose,Monk 2015
103033,b4469,1.093333333,Glucose,Monk 2015
103040,b4476,1.093333333,Glucose,Monk 2015
103050,b4486,1.093333333,Glucose,Monk 2015
101811,b2950,1.091666667,Glucose,Monk 2015
102730,b4104,1.091666667,Glucose,Monk 2015
99510,b0300,1.09,Glucose,Monk 2015
99521,b0313,1.09,Glucose,Monk 2015
99997,b0868,1.09,Glucose,Monk 2015
100180,b1078,1.09,Glucose,Monk 2015
100929,b1921,1.09,Glucose,Monk 2015
101053,b2066,1.09,Glucose,Monk 2015
101433,b2498,1.09,Glucose,Monk 2015
101452,b2520,1.09,Glucose,Monk 2015
101698,b2819,1.09,Glucose,Monk 2015
101934,b3098,1.09,Glucose,Monk 2015
102321,b3592,1.09,Glucose,Monk 2015
102333,b3605,1.09,Glucose,Monk 2015
102566,b3899,1.09,Glucose,Monk 2015
102896,b4303,1.09,Glucose,Monk 2015
103114,b4616,1.09,Glucose,Monk 2015
99388,b0135,1.086666667,Glucose,Monk 2015
99412,b0162,1.086666667,Glucose,Monk 2015
99589,b0394,1.086666667,Glucose,Monk 2015
99664,b0481,1.086666667,Glucose,Monk 2015
99717,b0545,1.086666667,Glucose,Monk 2015
99826,b0682,1.086666667,Glucose,Monk 2015
99869,b0731,1.086666667,Glucose,Monk 2015
100527,b1484,1.086666667,Glucose,Monk 2015
100783,b1761,1.086666667,Glucose,Monk 2015
101067,b2080,1.086666667,Glucose,Monk 2015
101196,b2230,1.086666667,Glucose,Monk 2015
101246,b2283,1.086666667,Glucose,Monk 2015
101301,b2343,1.086666667,Glucose,Monk 2015
101372,b2426,1.086666667,Glucose,Monk 2015
101495,b2569,1.086666667,Glucose,Monk 2015
101646,b2759,1.086666667,Glucose,Monk 2015
102240,b3503,1.086666667,Glucose,Monk 2015
102485,b3795,1.086666667,Glucose,Monk 2015
102487,b3801,1.086666667,Glucose,Monk 2015
102603,b3942,1.086666667,Glucose,Monk 2015
102636,b3998,1.086666667,Glucose,Monk 2015
99408,b0158,1.083333333,Glucose,Monk 2015
100418,b1355,1.083333333,Glucose,Monk 2015
100419,b1357,1.083333333,Glucose,Monk 2015
100562,b1521,1.083333333,Glucose,Monk 2015
100626,b1591,1.083333333,Glucose,Monk 2015
100663,b1628,1.083333333,Glucose,Monk 2015
100689,b1655,1.083333333,Glucose,Monk 2015
100801,b1780,1.083333333,Glucose,Monk 2015
101223,b2260,1.083333333,Glucose,Monk 2015
101336,b2379,1.083333333,Glucose,Monk 2015
101404,b2467,1.083333333,Glucose,Monk 2015
101695,b2813,1.083333333,Glucose,Monk 2015
101791,b2923,1.083333333,Glucose,Monk 2015
101892,b3050,1.083333333,Glucose,Monk 2015
101901,b3060,1.083333333,Glucose,Monk 2015
102051,b3248,1.083333333,Glucose,Monk 2015
102072,b3283,1.083333333,Glucose,Monk 2015
102111,b3356,1.083333333,Glucose,Monk 2015
102112,b3357,1.083333333,Glucose,Monk 2015
102315,b3586,1.083333333,Glucose,Monk 2015
102869,b4265,1.083333333,Glucose,Monk 2015
102871,b4267,1.083333333,Glucose,Monk 2015
99546,b0340,1.08,Glucose,Monk 2015
100179,b1077,1.08,Glucose,Monk 2015
100377,b1311,1.08,Glucose,Monk 2015
100475,b1430,1.08,Glucose,Monk 2015
100510,b1467,1.08,Glucose,Monk 2015
100553,b1512,1.08,Glucose,Monk 2015
100604,b1566,1.08,Glucose,Monk 2015
100762,b1739,1.08,Glucose,Monk 2015
100798,b1776,1.08,Glucose,Monk 2015
100832,b1813,1.08,Glucose,Monk 2015
100989,b1999,1.08,Glucose,Monk 2015
101101,b2125,1.08,Glucose,Monk 2015
101211,b2248,1.08,Glucose,Monk 2015
101471,b2540,1.08,Glucose,Monk 2015
101614,b2724,1.08,Glucose,Monk 2015
101963,b3134,1.08,Glucose,Monk 2015
102144,b3392,1.08,Glucose,Monk 2015
102223,b3484,1.08,Glucose,Monk 2015
102253,b3517,1.08,Glucose,Monk 2015
102255,b3519,1.08,Glucose,Monk 2015
102451,b3747,1.08,Glucose,Monk 2015
102506,b3825,1.08,Glucose,Monk 2015
102762,b4137,1.08,Glucose,Monk 2015
102778,b4155,1.08,Glucose,Monk 2015
102847,b4237,1.08,Glucose,Monk 2015
103000,b4421,1.08,Glucose,Monk 2015
103046,b4482,1.08,Glucose,Monk 2015
103055,b4506,1.08,Glucose,Monk 2015
99270,C0343,1.076666667,Glucose,Monk 2015
99273,C0664,1.076666667,Glucose,Monk 2015
99275,I002,1.076666667,Glucose,Monk 2015
99498,b0286,1.076666667,Glucose,Monk 2015
99577,b0382,1.076666667,Glucose,Monk 2015
99657,b0472,1.076666667,Glucose,Monk 2015
99817,b0661,1.076666667,Glucose,Monk 2015
99838,b0696,1.076666667,Glucose,Monk 2015
100117,b1006,1.076666667,Glucose,Monk 2015
100228,b1137,1.076666667,Glucose,Monk 2015
100293,b1218,1.076666667,Glucose,Monk 2015
100378,b1312,1.076666667,Glucose,Monk 2015
100525,b1482,1.076666667,Glucose,Monk 2015
100536,b1493,1.076666667,Glucose,Monk 2015
100567,b1526,1.076666667,Glucose,Monk 2015
100792,b1770,1.076666667,Glucose,Monk 2015
100942,b1937,1.076666667,Glucose,Monk 2015
100957,b1952,1.076666667,Glucose,Monk 2015
100974,b1972,1.076666667,Glucose,Monk 2015
101446,b2512,1.076666667,Glucose,Monk 2015
101658,b2771,1.076666667,Glucose,Monk 2015
101785,b2917,1.076666667,Glucose,Monk 2015
101890,b3048,1.076666667,Glucose,Monk 2015
101991,b3164,1.076666667,Glucose,Monk 2015
102021,b3211,1.076666667,Glucose,Monk 2015
102026,b3216,1.076666667,Glucose,Monk 2015
102043,b3238,1.076666667,Glucose,Monk 2015
102180,b3431,1.076666667,Glucose,Monk 2015
102309,b3580,1.076666667,Glucose,Monk 2015
102324,b3596,1.076666667,Glucose,Monk 2015
102382,b3664,1.076666667,Glucose,Monk 2015
102594,b3932,1.076666667,Glucose,Monk 2015
102622,b3962,1.076666667,Glucose,Monk 2015
102671,b4037,1.076666667,Glucose,Monk 2015
102745,b4119,1.076666667,Glucose,Monk 2015
102920,b4327,1.076666667,Glucose,Monk 2015
103036,b4472,1.076666667,Glucose,Monk 2015
103076,b4533,1.076666667,Glucose,Monk 2015
103083,b4542,1.076666667,Glucose,Monk 2015
103094,b4555,1.076666667,Glucose,Monk 2015
103097,b4558,1.076666667,Glucose,Monk 2015
100088,b0975,1.075,Glucose,Monk 2015
99298,b0007,1.073333333,Glucose,Monk 2015
99315,b0035,1.073333333,Glucose,Monk 2015
99400,b0148,1.073333333,Glucose,Monk 2015
99970,b0841,1.073333333,Glucose,Monk 2015
100000,b0871,1.073333333,Glucose,Monk 2015
100018,b0895,1.073333333,Glucose,Monk 2015
100441,b1387,1.073333333,Glucose,Monk 2015
100492,b1448,1.073333333,Glucose,Monk 2015
100499,b1455,1.073333333,Glucose,Monk 2015
100610,b1574,1.073333333,Glucose,Monk 2015
100781,b1759,1.073333333,Glucose,Monk 2015
100804,b1783,1.073333333,Glucose,Monk 2015
100846,b1827,1.073333333,Glucose,Monk 2015
100894,b1877,1.073333333,Glucose,Monk 2015
100928,b1920,1.073333333,Glucose,Monk 2015
101098,b2122,1.073333333,Glucose,Monk 2015
101453,b2521,1.073333333,Glucose,Monk 2015
101478,b2547,1.073333333,Glucose,Monk 2015
101608,b2718,1.073333333,Glucose,Monk 2015
101645,b2758,1.073333333,Glucose,Monk 2015
101741,b2870,1.073333333,Glucose,Monk 2015
101814,b2953,1.073333333,Glucose,Monk 2015
101875,b3028,1.073333333,Glucose,Monk 2015
101888,b3046,1.073333333,Glucose,Monk 2015
101907,b3071,1.073333333,Glucose,Monk 2015
101997,b3175,1.073333333,Glucose,Monk 2015
102132,b3379,1.073333333,Glucose,Monk 2015
102192,b3448,1.073333333,Glucose,Monk 2015
102206,b3466,1.073333333,Glucose,Monk 2015
102293,b3564,1.073333333,Glucose,Monk 2015
